id,provider,category,purpose,service,display_name,url,service_status,aliases
aws-iam-identity-center,AWS,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",IAM Identity Center,IAM Identity Center,https://docs.aws.amazon.com/iam-identity-center/,active,
google-cloud-cloud-iam,Google Cloud,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",Cloud IAM,Cloud IAM,https://cloud.google.com/cloud-iam/docs,active,
google-cloud-cloud-identity,Google Cloud,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",Cloud Identity,Cloud Identity,https://cloud.google.com/cloud-identity/docs,active,
azure-microsoft-entra-id,Azure,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",Microsoft Entra ID,Microsoft Entra ID,https://learn.microsoft.com/en-us/azure/microsoft-entra-id/,active,
azure-azure-rbac,Azure,Lifecycle: 1. Identity Foundations,"Authentication, directory services, access management, and RBAC",Azure RBAC,Azure RBAC,https://learn.microsoft.com/en-us/azure/azure-rbac/,active,
aws-vpc,AWS,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",VPC,VPC,https://docs.aws.amazon.com/vpc/,active,
aws-route-53,AWS,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Route 53,Route 53,https://docs.aws.amazon.com/route-53/,active,
aws-route-53-global-resolver,AWS,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Route 53 Global Resolver,Route 53 Global Resolver,https://docs.aws.amazon.com/route-53-global-resolver/,active,
aws-direct-connect,AWS,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Direct Connect,Direct Connect,https://docs.aws.amazon.com/direct-connect/,active,
aws-aws-interconnect,AWS,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",AWS Interconnect (preview),AWS Interconnect (preview),https://docs.aws.amazon.com/aws-interconnect/,preview,
google-cloud-vpc,Google Cloud,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",VPC (Global),VPC (Global),https://cloud.google.com/vpc/docs,active,
google-cloud-cloud-dns,Google Cloud,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Cloud DNS,Cloud DNS,https://cloud.google.com/cloud-dns/docs,active,
google-cloud-cloud-interconnect,Google Cloud,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Cloud Interconnect,Cloud Interconnect,https://cloud.google.com/cloud-interconnect/docs,active,
azure-virtual-network,Azure,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Virtual Network (VNet),Virtual Network (VNet),https://learn.microsoft.com/en-us/azure/virtual-network/,active,
azure-azure-dns,Azure,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",Azure DNS,Azure DNS,https://learn.microsoft.com/en-us/azure/azure-dns/,active,
azure-expressroute,Azure,Lifecycle: 2. Networking Foundation,"VPCs/VNets, subnets, DNS, hybrid, and cross-cloud connectivity",ExpressRoute,ExpressRoute,https://learn.microsoft.com/en-us/azure/expressroute/,active,
aws-guardduty,AWS,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",GuardDuty,GuardDuty,https://docs.aws.amazon.com/guardduty/,active,
aws-security-hub,AWS,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Security Hub,Security Hub,https://docs.aws.amazon.com/security-hub/,active,
aws-kms,AWS,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",KMS,KMS,https://docs.aws.amazon.com/kms/,active,
aws-secrets-manager,AWS,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Secrets Manager,Secrets Manager,https://docs.aws.amazon.com/secrets-manager/,active,
google-cloud-security-command-center,Google Cloud,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Security Command Center,Security Command Center,https://cloud.google.com/security-command-center/docs,active,
google-cloud-cloud-kms,Google Cloud,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Cloud KMS,Cloud KMS,https://cloud.google.com/cloud-kms/docs,active,
google-cloud-secret-manager,Google Cloud,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Secret Manager,Secret Manager,https://cloud.google.com/secret-manager/docs,active,
azure-microsoft-defender-for-cloud,Azure,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Microsoft Defender for Cloud,Microsoft Defender for Cloud,https://learn.microsoft.com/en-us/azure/microsoft-defender-for-cloud/,active,
azure-key-vault,Azure,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Key Vault,Key Vault,https://learn.microsoft.com/en-us/azure/key-vault/,active,
azure-azure-integrated-hsm,Azure,Lifecycle: 3. Security Guardrails,"Threat detection, posture management, encryption keys, and secrets",Azure Integrated HSM,Azure Integrated HSM,https://learn.microsoft.com/en-us/azure/azure-integrated-hsm/,active,
aws-ec2,AWS,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",EC2,EC2,https://docs.aws.amazon.com/ec2/,active,
aws-lambda,AWS,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",Lambda (incl. Lambda Managed Instances),Lambda (incl. Lambda Managed Instances),https://docs.aws.amazon.com/lambda/,active,
aws-ecs,AWS,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",ECS,ECS,https://docs.aws.amazon.com/ecs/,active,
aws-eks,AWS,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",EKS,EKS,https://docs.aws.amazon.com/eks/,active,
google-cloud-compute-engine,Google Cloud,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",Compute Engine,Compute Engine,https://cloud.google.com/compute-engine/docs,active,
google-cloud-cloud-functions,Google Cloud,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",Cloud Functions (Gen 2),Cloud Functions (Gen 2),https://cloud.google.com/cloud-functions/docs,active,
google-cloud-gke,Google Cloud,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",GKE,GKE,https://cloud.google.com/gke/docs,active,
azure-virtual-machines,Azure,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",Virtual Machines,Virtual Machines,https://learn.microsoft.com/en-us/azure/virtual-machines/,active,
azure-azure-functions,Azure,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",Azure Functions,Azure Functions,https://learn.microsoft.com/en-us/azure/azure-functions/,active,
azure-aks,Azure,Lifecycle: 4. Compute Provisioning,"Virtual machines, serverless functions, and container instances",AKS,AKS,https://learn.microsoft.com/en-us/azure/aks/,active,
aws-s3,AWS,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",S3,S3,https://docs.aws.amazon.com/s3/,active,
aws-ebs,AWS,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",EBS,EBS,https://docs.aws.amazon.com/ebs/,active,
aws-efs,AWS,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",EFS,EFS,https://docs.aws.amazon.com/efs/,active,
aws-fsx,AWS,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",FSx,FSx,https://docs.aws.amazon.com/fsx/,active,
aws-s3-glacier,AWS,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",S3 Glacier,S3 Glacier,https://docs.aws.amazon.com/s3-glacier/,active,
google-cloud-cloud-storage,Google Cloud,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Cloud Storage,Cloud Storage,https://cloud.google.com/cloud-storage/docs,active,
google-cloud-persistent-disk,Google Cloud,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Persistent Disk,Persistent Disk,https://cloud.google.com/persistent-disk/docs,active,
google-cloud-hyperdisk,Google Cloud,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Hyperdisk,Hyperdisk,https://cloud.google.com/hyperdisk/docs,active,
google-cloud-filestore,Google Cloud,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Filestore,Filestore,https://cloud.google.com/filestore/docs,active,
google-cloud-cloud-storage-archive,Google Cloud,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Cloud Storage Archive,Cloud Storage Archive,https://cloud.google.com/cloud-storage-archive/docs,active,
azure-blob-storage,Azure,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Blob Storage,Blob Storage,https://learn.microsoft.com/en-us/azure/blob-storage/,active,
azure-managed-disks,Azure,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Managed Disks,Managed Disks,https://learn.microsoft.com/en-us/azure/managed-disks/,active,
azure-azure-files,Azure,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Azure Files,Azure Files,https://learn.microsoft.com/en-us/azure/azure-files/,active,
azure-azure-archive-storage,Azure,Lifecycle: 5. Storage,"Object, block, file, archival, and data lake storage",Azure Archive Storage,Azure Archive Storage,https://learn.microsoft.com/en-us/azure/azure-archive-storage/,active,
aws-rds,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",RDS,RDS,https://docs.aws.amazon.com/rds/,active,
aws-aurora,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Aurora,Aurora,https://docs.aws.amazon.com/aurora/,active,
aws-dynamodb,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",DynamoDB,DynamoDB,https://docs.aws.amazon.com/dynamodb/,active,
aws-elasticache,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",ElastiCache,ElastiCache,https://docs.aws.amazon.com/elasticache/,active,
aws-memorydb,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",MemoryDB,MemoryDB,https://docs.aws.amazon.com/memorydb/,active,
aws-keyspaces,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Keyspaces,Keyspaces,https://docs.aws.amazon.com/keyspaces/,active,
aws-neptune,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Neptune,Neptune,https://docs.aws.amazon.com/neptune/,active,
aws-timestream,AWS,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Timestream,Timestream,https://docs.aws.amazon.com/timestream/,active,
google-cloud-cloud-sql,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Cloud SQL,Cloud SQL,https://cloud.google.com/cloud-sql/docs,active,
google-cloud-alloydb,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",AlloyDB,AlloyDB,https://cloud.google.com/alloydb/docs,active,
google-cloud-firestore,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Firestore,Firestore,https://cloud.google.com/firestore/docs,active,
google-cloud-bigtable,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Bigtable,Bigtable,https://cloud.google.com/bigtable/docs,active,
google-cloud-memorystore,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Memorystore,Memorystore,https://cloud.google.com/memorystore/docs,active,
google-cloud-spanner,Google Cloud,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Spanner,Spanner,https://cloud.google.com/spanner/docs,active,
azure-azure-sql-database,Azure,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Azure SQL Database,Azure SQL Database,https://learn.microsoft.com/en-us/azure/azure-sql-database/,active,
azure-azure-sql-managed-instance,Azure,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Azure SQL Managed Instance,Azure SQL Managed Instance,https://learn.microsoft.com/en-us/azure/azure-sql-managed-instance/,active,
azure-cosmos-db,Azure,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Cosmos DB,Cosmos DB,https://learn.microsoft.com/en-us/azure/cosmos-db/,active,
azure-azure-cache-for-redis,Azure,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Azure Cache for Redis,Azure Cache for Redis,https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/,active,
azure-azure-horizondb,Azure,Lifecycle: 6. Databases,"Relational, NoSQL, in-memory cache, and globally distributed databases",Azure HorizonDB,Azure HorizonDB,https://learn.microsoft.com/en-us/azure/azure-horizondb/,active,
aws-codepipeline,AWS,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",CodePipeline,CodePipeline,https://docs.aws.amazon.com/codepipeline/,active,
aws-codebuild,AWS,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",CodeBuild,CodeBuild,https://docs.aws.amazon.com/codebuild/,active,
aws-codedeploy,AWS,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",CodeDeploy,CodeDeploy,https://docs.aws.amazon.com/codedeploy/,active,
aws-codecommit,AWS,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",CodeCommit,CodeCommit,https://docs.aws.amazon.com/codecommit/,active,
google-cloud-cloud-build,Google Cloud,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Cloud Build,Cloud Build,https://cloud.google.com/cloud-build/docs,active,
google-cloud-cloud-deploy,Google Cloud,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Cloud Deploy,Cloud Deploy,https://cloud.google.com/cloud-deploy/docs,active,
google-cloud-cloud-source-repositories,Google Cloud,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Cloud Source Repositories,Cloud Source Repositories,https://cloud.google.com/cloud-source-repositories/docs,active,
azure-azure-pipelines,Azure,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Azure Pipelines,Azure Pipelines,https://learn.microsoft.com/en-us/azure/azure-pipelines/,active,
azure-deployment-center,Azure,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Deployment Center,Deployment Center,https://learn.microsoft.com/en-us/azure/deployment-center/,active,
azure-azure-repos,Azure,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",Azure Repos,Azure Repos,https://learn.microsoft.com/en-us/azure/azure-repos/,active,
azure-github-actions,Azure,Lifecycle: 7. Application Build & CI/CD,"Source control, continuous integration, build, test, and deployment automation",GitHub Actions,GitHub Actions,https://learn.microsoft.com/en-us/azure/github-actions/,active,
aws-eks,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",EKS,EKS,https://docs.aws.amazon.com/eks/,active,
aws-ecs,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",ECS,ECS,https://docs.aws.amazon.com/ecs/,active,
aws-fargate,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Fargate,Fargate,https://docs.aws.amazon.com/fargate/,active,
aws-app-runner,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",App Runner,App Runner,https://docs.aws.amazon.com/app-runner/,active,
aws-api-gateway,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",API Gateway,API Gateway,https://docs.aws.amazon.com/api-gateway/,active,
aws-eventbridge,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",EventBridge,EventBridge,https://docs.aws.amazon.com/eventbridge/,active,
aws-sqs,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",SQS,SQS,https://docs.aws.amazon.com/sqs/,active,
aws-sns,AWS,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",SNS,SNS,https://docs.aws.amazon.com/sns/,active,
google-cloud-gke,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",GKE,GKE,https://cloud.google.com/gke/docs,active,
google-cloud-cloud-run,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Cloud Run,Cloud Run,https://cloud.google.com/cloud-run/docs,active,
google-cloud-apigee,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Apigee,Apigee,https://cloud.google.com/apigee/docs,active,
google-cloud-eventarc,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Eventarc,Eventarc,https://cloud.google.com/eventarc/docs,active,
google-cloud-pub,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Pub,Pub,https://cloud.google.com/pub/docs,active,
google-cloud-sub,Google Cloud,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Sub,Sub,https://cloud.google.com/sub/docs,active,
azure-aks,Azure,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",AKS,AKS,https://learn.microsoft.com/en-us/azure/aks/,active,
azure-container-apps,Azure,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Container Apps,Container Apps,https://learn.microsoft.com/en-us/azure/container-apps/,active,
azure-api-management,Azure,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",API Management,API Management,https://learn.microsoft.com/en-us/azure/api-management/,active,
azure-event-grid,Azure,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Event Grid,Event Grid,https://learn.microsoft.com/en-us/azure/event-grid/,active,
azure-service-bus,Azure,"Lifecycle: 8. Containers, Serverless & Integration","Managed orchestration, API gateways, message queues, and event routing",Service Bus,Service Bus,https://learn.microsoft.com/en-us/azure/service-bus/,active,
aws-redshift,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Redshift,Redshift,https://docs.aws.amazon.com/redshift/,active,
aws-glue,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Glue,Glue,https://docs.aws.amazon.com/glue/,active,
aws-emr,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",EMR,EMR,https://docs.aws.amazon.com/emr/,active,
aws-athena,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Athena,Athena,https://docs.aws.amazon.com/athena/,active,
aws-sagemaker-ai,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",SageMaker AI,SageMaker AI,https://docs.aws.amazon.com/sagemaker-ai/,active,
aws-amazon-bedrock,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Amazon Bedrock,Amazon Bedrock,https://docs.aws.amazon.com/amazon-bedrock/,active,
aws-bedrock-agentcore,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Bedrock AgentCore,Bedrock AgentCore,https://docs.aws.amazon.com/bedrock-agentcore/,active,
aws-amazon-quick-suite,AWS,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Amazon Quick Suite,Amazon Quick Suite,https://docs.aws.amazon.com/amazon-quick-suite/,active,
google-cloud-bigquery,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",BigQuery,BigQuery,https://cloud.google.com/bigquery/docs,active,
google-cloud-dataflow,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Dataflow,Dataflow,https://cloud.google.com/dataflow/docs,active,
google-cloud-dataproc,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Dataproc,Dataproc,https://cloud.google.com/dataproc/docs,active,
google-cloud-looker,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Looker,Looker,https://cloud.google.com/looker/docs,active,
google-cloud-gemini-enterprise-agent-platform,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Gemini Enterprise Agent Platform,Gemini Enterprise Agent Platform,https://cloud.google.com/gemini-enterprise-agent-platform/docs,active,
google-cloud-agent-studio,Google Cloud,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Agent Studio,Agent Studio,https://cloud.google.com/agent-studio/docs,active,
azure-microsoft-fabric,Azure,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI","Microsoft Fabric (Warehouse, Data Factory, Lakehouse)","Microsoft Fabric (Warehouse, Data Factory, Lakehouse)",https://learn.microsoft.com/en-us/azure/microsoft-fabric/,active,
azure-microsoft-foundry,Azure,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Microsoft Foundry,Microsoft Foundry,https://learn.microsoft.com/en-us/azure/microsoft-foundry/,active,
azure-copilot-studio,Azure,"Lifecycle: 9. Data, Analytics & AI","Big data processing, data warehousing, business intelligence, ML, and agentic AI",Copilot Studio,Copilot Studio,https://learn.microsoft.com/en-us/azure/copilot-studio/,active,
aws-cloudwatch,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",CloudWatch,CloudWatch,https://docs.aws.amazon.com/cloudwatch/,active,
aws-cloudwatch-logs,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",CloudWatch Logs,CloudWatch Logs,https://docs.aws.amazon.com/cloudwatch-logs/,active,
aws-x-ray,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",X-Ray,X-Ray,https://docs.aws.amazon.com/x-ray/,active,
aws-cost-explorer,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Cost Explorer,Cost Explorer,https://docs.aws.amazon.com/cost-explorer/,active,
aws-budgets,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Budgets,Budgets,https://docs.aws.amazon.com/budgets/,active,
aws-trusted-advisor,AWS,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Trusted Advisor,Trusted Advisor,https://docs.aws.amazon.com/trusted-advisor/,active,
google-cloud-cloud-monitoring,Google Cloud,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Cloud Monitoring,Cloud Monitoring,https://cloud.google.com/cloud-monitoring/docs,active,
google-cloud-cloud-logging,Google Cloud,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Cloud Logging,Cloud Logging,https://cloud.google.com/cloud-logging/docs,active,
google-cloud-cloud-trace,Google Cloud,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Cloud Trace,Cloud Trace,https://cloud.google.com/cloud-trace/docs,active,
google-cloud-cloud-billing-reports,Google Cloud,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Cloud Billing Reports,Cloud Billing Reports,https://cloud.google.com/cloud-billing-reports/docs,active,
google-cloud-recommender,Google Cloud,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Recommender,Recommender,https://cloud.google.com/recommender/docs,active,
azure-azure-monitor,Azure,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Azure Monitor,Azure Monitor,https://learn.microsoft.com/en-us/azure/azure-monitor/,active,
azure-application-insights,Azure,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Application Insights,Application Insights,https://learn.microsoft.com/en-us/azure/application-insights/,active,
azure-log-analytics,Azure,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Log Analytics,Log Analytics,https://learn.microsoft.com/en-us/azure/log-analytics/,active,
azure-microsoft-cost-management,Azure,Lifecycle: 10. Observability & Cost Governance,"Monitoring, centralized logging, distributed tracing, metrics, and spend optimization",Microsoft Cost Management,Microsoft Cost Management,https://learn.microsoft.com/en-us/azure/microsoft-cost-management/,active,
